clientid;income;age;loan;default
39;609.210.631.041.788;18.840.525.757.987.100;968.836.382.674.606;0
40;265.785.366.925.411;326.760.442.531.668;348.984.313.638.823;1
41;662.601.215.578.616;328.966.930.676.252;703.558.910.734.261;0
42;58.787.455.239.798.800;62.641.302.851.960.100;416.778.672.391.926;0
43;625.457.087.112.591;490.404.332.359.321;436.290.581.198.044;0
44;243.819.534.475.915;25.252.330.708.783.100;42.270.189.863.608;1
45;678.521.058.685.146;473.218.990.601.599;5.730.588.251.384.710;0
46;417.256.128.555.164;18.130.038.363.393.300;11.852.146.998.461.900;0
47;418.969.715.991.989;4.725.073.103.467;4.892.209.733.649.000;0
48;443.797.296.541.743;50.088.671.288.918.700;181.433.508.159.906;0
49;28.416.899.375.151.800;579.287.192.984.484;178.897.373.591.901;0
50;68.427.163.111.046;46.308.240.193.408.000;16.580.702.332.123.500;0
51;359.757.949.295.454;357.086.517.671.123;661.036.617.887.751;0
52;575.963.540.980.592;292.460.566.032.678;334.438.440.143.163;0
53;296.818.830.934.353;549.592.871.875.502;174.587.167.418.898;0
54;51.656.938.674.859.600;477.150.637.004.524;715.813.906.028.943;0
55;249.128.426.820.971;493.663.711.971.603;267.696.298.601.759;0
56;477.618.240.681.477;5.009.815.906.733.270;5.549.799.127.875.760;0
57;222.481.792.024.337;234.436.241.723.597;43.649.752.805.952;1
58;297.244.768.752.716;319.685.264.034.197;307.534.572.793.243;0
59;521.438.236.744.143;208.376.339.208.335;23.930.996.785.886;0
60;565.777.228.609.659;36.847.800.681.833.200;594.742.172.129.888;0
61;37.660.770.716.611.200;537.450.604.746.118;212.959.716.481.131;0
62;374.037.953.955.121;47.944.121.700.245.800;204.404.704.534.067;0
63;316.526.937.345.043;620.238.024.718.128;515.107.044.539.045;0
64;32.727.700.732.648.300;344.748.710.067.943;108.791.936.375.134;0
65;690.786.048.118.025;25.107.524.048.071.300;407.658.391.416.475;0
66;40.622.194.872.703.300;415.271.887.867.711;494.990.233.344.449;0
67;375.210.171.728.395;60.541.077.433.619.600;801.207.624.713.557;0
68;30.735.808.499.157.400;22.242.097.743.786.800;5.946.822.296.779.950;1
69;248.576.948.815.025;21.598.676.353.692.900;26.921.634.585.589;0
70;331.802.015.937.865;49.565.977.277.234.200;462.199.774.242.203;0
71;666.282.600.886.188;523.838.734.384.626;5.992.885.092.439.250;0
72;38.564.932.129.811.400;212.164.916.703.478;560.416.999.048.292;1
73;337.045.084.964.484;331.831.062.319.688;58.980.008.931.423;1
74;57.018.484.831.787.500;44.825.715.307.612;350.725.216.607.221;0
75;405.269.027.850.591;286.063.759.573.735;211.998.491.147.902;0
76;508.279.805.234.633;510.129.371.876.828;176.598.333.716.344;0
77;407.758.115.953.766;6.028.875.682.642.670;19.226.100.223.272.500;0
78;55.467.151.412.740.300;56.851.330.957.375.400;9.226.902.040.898.040;0
79;387.890.293.891.542;61.229.285.428.766.200;765.065.520.988.095;0
80;580.748.401.279.561;5.007.492.427.434.770;738.802.443.997.422;0
81;578.141.063.381.918;438.309.230.962.768;7.252.120.003.970.840;0
82;45.190.729.182.213.400;53.839.520.003.646.600;789.355.988.850.644;0
83;368.019.071.803.428;430.279.434.239.492;540.634.492.649.729;0
84;688.117.794.157.006;24.038.265.345.152.500;421.130.261.071.966;0
85;304.832.955.286.838;33.656.441.235.914.800;45.140.097.801.128.400;1
86;44.930.394.173.134.100;19.777.385.845.780.300;770.831.562.497.011;1
87;43.671.456.554.438.900;255.850.369.762.629;806.669.786.524.019;1
88;276.129.148.015.752;192.124.481.862.411;151.362.419.967.009;0
89;53.607.326.925.266.500;27.561.712.404.713.000;23.787.661.730.363.200;0
90;330.366.831.202.991;25.063.367.417.547.800;9.589.798.221.228.010;0
91;64.275.834.888.685.400;61.440.913.001.541.000;7.520.032.053.087.840;0
92;306.738.375.034.183;593.338.370.760.903;383.107.569.352.407;0
93;587.936.143.088.154;56.494.410.405.401.100;4.391.981.053.651.470;0
94;210.534.906.177.782;633.794.076.466.002;754.601.882.142.809;0
95;420.954.222.022.556;55.366.188.046.522.300;118.370.456.825.763;0
96;503.606.787.929.311;28.839.542.468.544.100;4.217.166.823.074.770;0
97;419.707.244.774.327;63.169.913.943.857.000;16.223.173.923.260.400;0
98;51.663.410.179.317.000;63.735.710.240.900.400;41.478.885.848.744;0
99;53.601.812.436.245.400;20.240.621.272.008.800;9.601.375.482.171.090;1
100;4.343.998.872.675;24.179.470.323.026.100;687.930.600.704.276;1
101;514.610.531.670.041;366.515.586.250.462;7.292.264.176.862.570;0
102;412.851.723.073.982;47.976.308.161.392.700;23.138.250.047.973.900;0
103;628.957.497.701.049;49.922.603.716.142.500;200.128.151.391.029;0
104;572.961.608.227.342;257.084.823.274.054;10.601.082.782.855.600;1
105;60.844.092.494.808.000;456.552.049.978.636;12.072.255.757.971.200;0
106;476.345.495.483.838;442.948.713.297.956;141.703.817.946.414;0
107;239.983.236.929.402;299.100.334.881.805;39.283.039.085.182.700;1
108;633.916.159.672.663;347.392.676.644.959;190.889.274.816.911;0
109;215.345.512.190.834;443.150.380.225.852;22.833.538.696.889;0
110;282.556.525.128.894;355.140.173.663.385;21.092.427.976.728;0
111;364.961.339.323.781;195.157.164.894.044;165.506.090.118.747;0
112;416.316.662.961.617;530.476.547.656.581;10.609.074.717.934.900;0
113;687.624.166.649.766;20.991.243.356.373.100;279.675.230.312.401;0
114;30.075.264.924.671.400;292.350.565.218.367;262.857.792.284.269;0
115;413.026.741.752.401;386.606.185.785.495;137.991.312.425.834;0
116;39.703.759.427.648;474.687.409.927.137;24.034.782.156.904.500;0
117;631.610.920.350.067;596.751.149.813.645;804.092.441.476.811;0
118;630.621.420.964.599;26.585.778.484.120.900;56.166.164.387.319.900;0
119;345.075.279.055.163;38.587.783.391.121.700;179.375.025.542.512;0
120;279.547.077.650.204;299.045.216.715.895;16.270.414.050.731;0
121;373.693.820.601.329;35.341.948.841.698.400;37.836.011.509.907.500;0
122;43.912.062.740.419.100;238.219.211.781.397;7.757.136.788.699.250;1
123;227.667.745.016.515;29.325.901.472.941;14.294.017.623.047;0
124;216.033.057.007.007;21.375.033.318.065.100;178.333.870.986.952;0
125;61.952.906.688.675.300;18.477.425.018.791.100;36.356.005.890.215;0
126;361.163.650.918.752;225.358.841.912.821;14.949.845.683.242.900;0
127;261.577.772.721.648;228.269.377.253.018;229.581.165.641.849;0
128;264.583.832.048.811;595.229.867.356.829;552.398.166.405.428;0
129;691.563.037.736.341;53.410.862.499.848;73.647.355.776.451.000;0
130;394.414.447.643.794;467.538.959.244.266;10.347.588.383.330.900;0
131;601.190.658.099.949;450.769.692.314.789;18.109.604.596.641.600;0
132;55.613.485.460.635.300;243.771.287.729.032;42.552.521.372.008.500;0
133;370.493.862.358.853;294.230.185.477.063;605.681.721.377.313;1
134;231.220.649.252.646;533.095.358.414.575;426.349.303.076.889;0
135;487.901.324.336.417;324.756.210.590.713;551.909.603.957.038;0
136;591.326.851.560.734;483.449.929.575.436;457.552.763.542.752;0
137;553.055.748.273.619;53.582.279.865.164.200;817.670.716.548.325;0
138;260.374.636.435.881;247.831.077.934.243;329.325.087.871.026;1
139;648.998.050.298.542;381.160.166.831.687;4.654.249.217.083.540;0
140;27.089.124.317.280.800;212.076.896.023.937;502.948.878.154.619;1
141;453.414.746.373.892;22.569.568.357.430.300;652.521.842.259.918;1
142;248.657.980.747.521;373.097.529.392.689;443.911.615.420.807;0
143;282.395.432.051.271;261.922.096.619.383;418.983.256.804.479;1
144;527.300.805.016.421;502.377.849.854.529;570.632.532.253.577;0
145;289.820.581.488.311;39.048.409.874.551;28.987.618.238.762.200;0
146;362.212.660.070.509;26.101.500.419.899.800;50.946.700.842.702;1
147;335.511.243.715.882;588.569.274.861.366;4.333.360.862.430.610;0
148;438.913.559.704.088;491.538.267.019.205;5.792.906.333.268.110;0
149;45.148.885.720.409.500;60.525.006.453.506.600;64.553.917.717.800.900;0
150;58.481.012.161.355.400;408.329.182.346.351;538.056.059.607.515;0
151;695.799.292.111.769;57.756.243.164.651.000;108.682.414.720.072;0
152;527.433.085.651.137;44.048.516.512.848.300;268.470.067.065.167;0
153;656.356.615.293.771;511.677.144.751.884;12.701.603.475;0
154;34.559.907.035.436.400;291.121.819.927.357;331.752.987.409.072;0
155;6.021.853.152.662.510;324.718.877.156.265;31.579.610.817.063.100;0
156;51.689.548.538.997.800;46.154.191.521.462.000;988.197.600.620.667;0
157;4.754.161.433.549.590;552.345.850.714.482;161.121.659.719.418;0
158;6.290.579.302.469.260;279.096.519.639.716;11.423.936.295.348.700;1
159;656.326.045.794.412;471.057.667.518.035;12.498.040.454.376.200;0
160;318.478.537.187.912;414.163.357.610.814;29.137.699.313.302.600;0
161;27.947.440.282.441.600;583.484.551.762.231;551.411.742.142.548;0
162;622.467.272.495.851;31.081.884.507.089.800;406.720.769.305.791;0
163;401.546.885.655.262;605.296.831.950.545;601.315.287.400.369;0
164;586.275.548.837.148;331.156.532.461.755;12.156.525.598.047.800;0
165;334.410.510.654.561;27.873.486.188.706.000;5.282.728.560.308.370;1
166;556.037.867.954.001;438.394.727.888.517;141.113.008.049.743;0
167;310.463.789.664.209;29.297.398.745.548;490.767.408.446.776;1
168;4.470.809.987.280.510;21.108.773.565.851.100;23.908.505.965.863;0
169;233.402.706.962.079;428.286.152.952.351;27.077.609.389.629.800;0
170;24.830.181.971.192.400;289.702.452.290.803;20.466.850.503.447.800;0
171;314.227.473.852.225;53.898.080.206.010.500;168.683.590.183.974;0
172;6.047.723.384.574.050;604.021.064.555.272;10.711.700.895.547;0
173;260.390.214.901.417;493.904.022.299.685;205.675.238.228.244;0
174;361.868.480.732.664;505.067.522.143.945;11.307.352.653.068.400;0
175;397.721.187.258.139;43.725.447.806.064;549.289.368.937.988;0
176;347.301.640.710.793;6.337.623.301.194.970;8.185.084.418.876.910;0
177;231.184.833.147.563;575.810.503.219.254;174.693.655.902.557;0
178;500.728.476.257.063;330.152.727.491.222;8.088.568.018.568.090;1
179;6.746.506.238.589.050;23.611.053.848.173.400;180.261.699.404.161;0
180;386.256.320.099.346;196.300.378.022.715;583.656.338.145.928;1
181;45.227.482.826.449.000;26.723.162.444.774.100;55.215.074.051.112;1
182;64.901.897.734.962.400;449.388.158.493.675;958.983.352.507.197;0
183;405.439.135.432.243;51.460.875.617.805.900;65.078.501.914.892.800;0
184;277.932.667.220.011;605.169.084.747.322;38.224.890.411.041.400;0
185;61.167.774.819.769;205.836.314.358.748;103.966.181.477.631;1
186;646.196.646.196.768;26.042.092.686.519;97.047.824.094.498;1
187;375.937.578.664.161;540.104.153.105.058;727.432.562.822.359;0
188;350.326.495.990.157;5.672.462.562.192.220;135.931.684.494.729;0
189;583.644.649.758.935;5.559.654.947.882.520;58.098.990.004.484.900;0
190;569.458.104.134.537;455.540.205.067.955;6.388.369.826.233.510;0
191;272.048.485.511.914;290.720.967.198.722;38.278.939.146.126;1
192;21.648.261.025.548;525.870.399.242.267;355.852.726.155.765;0
193;310.778.568.894.602;442.215.166.972.019;4.452.330.679.191.930;0
194;425.229.224.073.701;53.868.651.077.616.900;679.085.026.335.851;0
195;31.769.247.718.621;44.774.380.587.507;114.822.143.592.675;0
196;35.556.779.911.276.000;237.774.331.844.412;636.197.343.810.153;1
197;52.908.824.237.529.100;536.956.359.203.905;9.841.080.552.709.600;0
198;350.451.314.053.498;28.653.283.655.177.800;238.246.677.216.556;0
199;444.881.644.845.009;334.312.054.850.161;275.108.884.293.104;0
200;416.799.371.177.331;536.699.082.404.375;395.000.775.087.053;0
201;546.199.471.969.157;5.242.442.217.422.650;107.802.718.821.749;0
202;380.536.231.258.884;262.068.803.249.858;611.057.279.243.647;1
203;64.718.661.776.278.200;372.764.920.084.737;148.507.993.541.129;0
204;431.590.849.696.659;6.244.209.669.111.300;435.001.989.674.202;0
205;29.445.510.501.973.300;284.456.774.769.351;175.888.186.466.259;0
206;25.817.389.884.032.200;379.454.801.897.518;41.154.847.193.336;0
207;663.568.567.414.768;615.248.488.285.579;10.725.484.727.782.800;0
208;5.667.615.799.931.800;466.789.695.257.321;227.855.434.854.177;0
209;610.000.427.742.489;486.236.102.138.646;216.078.490.802.133;0
210;589.062.516.856.939;420.493.419.757.113;9.290.575.344.923.870;0
211;495.891.537.214.629;427.752.558.849.752;26.274.054.884.209;0
212;401.416.035.415.605;56.151.418.384.630.200;8.453.663.712.741.250;0
213;316.597.282.118.164;319.281.536.792.405;858.511.387.999.185;0
214;62.658.221.628.516.900;254.631.600.710.563;334.336.716.094.004;0
215;392.644.834.984.094;37.027.752.841.822.700;525.578.828.313.976;0
216;466.431.264.812.127;53.405.083.367.135.400;6.440.861.434.225.770;0
217;30.515.372.117.515.600;201.618.777.224.794;415.240.434.973.958;0
218;65.077.322.027.646;50.979.134.705.849;110.618.118.946.308;0
219;6.087.186.900.433.150;61.260.144.198.779;48.441.722.236.386.900;0
220;25.011.103.895.958.500;362.151.896.632.276;38.340.427.822.766.900;0
221;684.071.855.084.039;6.093.758.158.152.920;5.979.440.655.279.530;0
222;43.727.439.343.929.300;551.925.993.468.612;117.055.633.399.312;0
223;45.788.747.100.159.500;412.619.462.260.045;589.404.131.672.805;0
224;657.050.108.234.398;509.284.318.452.701;19.697.941.341.928.800;0
225;324.347.025.062.889;413.531.710.146.926;273.844.049.607.766;0
226;58.121.668.575.331.600;273.018.002.295.867;753.110.124.850.389;1
227;624.985.072.459.094;319.096.907.987.259;33.128.776.215.380.300;0
228;26.090.725.876.856.600;4.807.852.007.215.830;425.562.639.181.993;0
229;6.478.093.853.686;202.281.011.762.097;8.402.415.585.756.990;1
230;655.884.034.163.319;22.918.212.262.913.600;7.879.738.136.012.420;1
231;657.437.036.675.401;52.300.504.095.852.300;772.457.141.377.445;0
232;37.164.521.582.890.200;472.954.547.600.821;144.580.218.914.379;0
233;651.765.297.795.646;489.632.109.752.856;236.528.749.039.987;0
234;34.615.542.173.851.200;255.143.896.490.335;6.476.760.852.061.370;1
235;590.794.650.535.099;586.383.316.046.558;103.260.897.733.222;0
236;562.671.716.371.551;224.861.360.387.877;7.329.243.163.822.590;1
237;348.628.212.860.785;54.964.873.311.575.400;604.077.206.183.173;0
238;605.213.641.002.774;45.424.993.005.115.400;803.588.317.278.016;0
239;422.767.829.080.112;579.306.961.889.379;8.055.305.084.123.920;0
240;384.511.777.129.956;634.214.554.904.029;344.126.141.621.257;0
241;45.985.108.653.549.100;535.338.888.033.293;7.382.056.426.137.520;0
242;510.004.224.418.662;278.029.975.118.116;778.732.695.554.933;0
243;315.231.077.652.425;40.446.167.938.876.900;517.457.056.869.183;0
244;28.648.676.751.181.400;18.396.969.827.823.300;18.709.252.528.540.600;0
245;27.514.427.963.178.500;218.976.978.017.017;340.091.074.388.565;1
246;274.410.003.842.786;37.399.069.886.189;14.550.476.020.381.100;0
247;677.092.415.909.283;504.129.322.776.571;513.681.930.751.016;0
248;386.007.071.868.517;447.227.962.231.264;274.908.019.063.432;0
249;30.950.295.405.928;26.310.194.327.030.300;504.314.863.656.084;1
250;27.083.822.868.298.700;606.666.585.183.702;32.862.128.815.586.600;0
251;215.127.452.672.459;247.795.283.021.405;24.533.761.214.986.800;0
252;347.960.035.596.043;584.878.998.775.966;44.366.653.811.321.100;0
253;270.893.928.408.623;5.129.419.703.828.170;185.131.156.299.008;0
254;252.594.016.306.102;397.397.662.643.343;434.100.808.194.247;0
255;470.073.135.849.088;4.501.979.642.966.750;406.940.264.613.646;0
256;20.358.665.024.396;536.151.803.117.245;106.468.691.788.658;0
257;679.002.265.259.624;435.143.038.420.938;790.274.296.522.359;0
258;54.418.470.994.569.400;552.220.663.037.151;56.307.412.209.842.600;0
259;512.885.546.940.379;299.207.484.745.421;653.696.636.294.544;1
260;28.199.601.632.077.200;366.687.041.711.994;38.716.889.019.340.700;0
261;22.199.615.142.308.100;60.104.818.883.352;149.839.091.851.883;0
262;505.144.696.263.596;573.796.501.425.095;200.365.357.036.953;0
263;344.142.403.383.739;5.453.017.240.064.220;617.538.752.197.269;0
264;37.633.087.432.477.500;29.421.412.573.196;8.681.624.732.744.140;0
265;552.355.040.726.252;470.052.601.420.321;491.054.765.823.574;0
266;455.875.518.429.093;62.022.138.073.109.100;836.661.426.770.219;0
267;527.577.949.385.159;53.082.214.448.601;232.120.631.423.091;0
268;411.748.081.259.429;52.339.376.373.216.400;28.884.447.099.632.200;0
269;25.685.535.201.337.200;390.091.894.618.236;490.742.921.135.624;0
270;28.145.302.999.764.700;55.547.629.611.100.900;480.597.154.908.401;0
271;5.209.421.837.236.730;408.445.077.631.623;495.021.199.154.345;0
272;335.523.859.760.724;251.596.109.354.869;605.424.412.635.839;1
273;374.009.337.672.032;50.108.486.676.123;169.313.737.803.293;0
274;216.057.250.904.851;23.238.169.600.255.700;282.830.861.825.601;1
275;5.756.289.173.616.090;566.005.673.469.044;850.883.539.912.434;0
276;6.228.853.960.521.510;256.021.726.368.926;106.571.061.233.567;1
277;22.767.264.202.702.700;451.232.806.812.041;120.578.601.273.801;0
278;209.430.433.274.247;198.196.311.858.483;409.811.578.954.984;1
279;20.622.860.097.792;304.140.330.967.493;35.184.526.294.613;1
280;48.436.664.631.590.100;490.278.497.678.228;58.514.097.886.154;0
281;27.574.634.184.129.500;576.437.090.644.613;101.739.615.953.411;0
282;62.889.362.142.887;332.456.503.002.904;652.515.179.253.791;0
283;376.832.004.915.923;55.587.210.861.500.300;74.145.528.532.260.300;0
284;54.974.455.495.830.500;619.842.032.282.613;892.219.971.681.344;0
285;563.260.866.724.886;404.054.552.190.937;481.677.607.411.979;0
286;656.708.834.390.156;500.046.984.688.379;39.508.701.721.497.200;0
287;507.307.333.918.288;419.700.667.927.973;187.905.966.237.435;0
288;641.849.157.912.657;464.470.364.344.306;185.423.961.318.048;0
289;661.793.241.091.073;48.120.799.149.386.600;36.469.378.597.936.700;0
290;249.695.268.040.523;451.209.932.160.564;359.550.194.172.919;0
291;54.925.518.266.390.900;40.805.603.108.834.500;5.544.883.448.103.370;0
292;678.792.480.193.079;435.972.086.614.929;104.334.743.453.989;0
293;67.787.526.762.113;53.362.340.441.439.200;960.749.884.661.811;0
294;31.657.619.301.695.400;37.778.664.294.630.200;144.807.198.358.459;0
295;365.591.350.290.924;19.716.176.087.502.300;303.026.724.082.269;0
296;57.787.565.658.800.300;226.446.692.147.292;633.985.084.448.677;0
297;42.521.726.007.107.500;47.704.288.747.627.200;266.161.251.596.017;0
298;519.351.806.305.349;21.495.505.332.946.800;5.649.452.468.489.760;0
299;456.778.761.278.838;5.169.305.562.227.960;2.966.246.125.205;0
300;513.635.958.125.815;210.219.965.986.907;761.422.404.184.785;0
301;27.218.561.030.458.700;55.171.019.956.003.800;414.500.358.705.858;0
302;436.776.292.207.651;32.553.030.352.108.100;67.398.585.984.927.800;1
303;21.533.595.507.498.700;579.016.834.627.837;1.971.554.219.965;0
304;28.010.190.934.874.100;553.668.996.649.794;39.711.554.788.077.300;0
305;515.892.827.464.268;503.134.648.902.342;569.909.740.698.165;0
306;50.480.952.688.958.400;27.080.390.626.099;883.118.436.544.789;1
307;4.395.735.058.235;211.448.488.398.455;54.163.577.980.789.000;1
308;61.878.346.551.675.300;33.006.359.541.323;5.676.687.734.239.400;0
309;601.533.369.673.416;203.008.601.283.655;647.234.700.724.504;0
310;333.885.833.434.761;620.016.749.538.481;45.518.768.886.076.700;0
311;413.104.017.777.368;53.576.940.739.993;4.481.162.212.528.440;0
312;255.769.539.321.773;51.932.268.046.774;19.226.566.258.695.400;0
313;514.550.984.534.435;372.856.837.031.431;9.447.117.157.424.400;0
314;481.341.569.265.351;47.969.675.232.190.500;207.559.611.242.181;0
315;513.485.273.043.625;524.367.397.828.028;150.789.134.084.423;0
316;205.328.237.311.915;546.232.338.510.454;18.977.808.208.720.300;0
317;332.972.140.214.406;465.799.600.426.108;36.747.413.401.434.700;0
318;558.585.492.358.543;258.665.337.795.392;563.044.497.235.335;0
319;437.775.184.796.192;200.109.276.962.467;360.129.968.528.693;0
320;27.789.519.056.677.700;585.191.334.835.254;186.828.073.932.876;0
321;36.132.423.875.387.700;342.942.604.152.486;994.495.914.003.405;0
322;201.459.885.970.689;21.282.783.722.970.600;8.398.390.632.084.550;0
323;631.087.073.870.003;431.939.415.303.059;575.784.899.502.697;0
324;265.816.145.273.857;619.533.737.506.717;509.039.277.440.685;0
325;62.040.889.628.697.100;62.049.800.970.125.800;7.643.631.046.107.170;0
326;699.587.055.412.121;305.360.198.994.167;87.556.919.767.255;1
327;380.825.195.158.832;45.519.977.238.029.200;421.346.525.948.758;0
328;45.183.054.176.159.100;338.955.782.176.927;595.345.352.370.895;1
329;36.242.447.961.121.800;39.415.470.788.721;5.688.994.849.119.100;0
330;445.272.589.032.538;4.209.009.227.762;4.588.472.285.879.380;0
331;404.962.558.229.454;20.105.458.715.930.600;483.460.379.766.491;0
332;24.698.669.305.071.200;489.125.574.673.526;242.765.078.779.499;0
333;605.603.055.260.144;4.975.058.566.872.020;19.946.211.339.084.600;0
334;48.018.211.456.947;502.041.390.226.223;6.120.090.021.073.970;0
335;302.162.519.586.273;26.563.716.534.059.500;211.653.731.014.055;0
336;61.742.239.950.690.400;44.872.607.807.628.700;8.068.319.703.512.400;0
337;472.884.266.683.832;6.242.846.685.694.520;40.049.888.524.873.700;0
338;246.588.993.165.642;59.436.500.572.133.700;590.598.081.194.187;0
339;646.443.481.021.561;58.840.656.749.904.200;9.848.171.448.939.890;0
340;575.177.241.396.159;524.860.697.872.937;453.685.720.940.257;0
341;529.455.477.884.039;546.319.151.935.168;626.200.794.529.651;0
342;36.366.990.411.188.500;47.191.410.086.117.700;371.040.895.011.703;0
343;621.137.295.663.357;278.844.150.044.024;119.285.098.562.393;1
344;622.795.195.016.079;266.664.690.533.653;68.014.058.925.032.800;0
345;617.990.849.586.204;569.579.610.438.086;561.921.760.364.769;0
346;501.397.400.093.265;302.678.123.456.426;775.879.982.277.807;1
347;695.666.843.489.744;52.967.087.706.551;987.503.718.259.757;0
348;448.974.883.696.064;513.580.610.542.558;573.239.903.226.614;0
349;225.723.027.647.473;5.101.624.041.982;724.193.188.479.234;0
350;371.230.796.375.312;199.466.844.960.116;5.659.509.277.874.130;1
351;68.744.788.649.492;607.300.558.583.811;520.788.311.679.924;0
352;210.811.941.814.609;523.828.332.629.055;23.951.653.496.083.600;0
353;588.282.921.165.228;324.029.204.347.171;594.764.546.828.592;0
354;467.064.588.610.083;188.303.362.894.803;7.084.263.509.070.550;1
355;323.128.533.829.004;28.155.320.470.687;228.330.803.623.653;0
356;607.787.650.241.517;430.130.229.773.931;100.210.492.234.587;0
357;309.480.415.470.898;427.513.535.995.968;399.580.729.495.872;0
358;60.122.011.571.656.900;629.096.049.447.544;71.893.507.350.953.400;0
359;433.216.811.204.329;322.862.543.463.707;74.386.714.101.317;0
360;479.043.412.418.105;40.039.270.239.416.400;6.183.514.146.370.020;0
361;585.973.832.453.601;5.328.803.373.547.270;258.849.026.590.007;0
362;660.919.059.114.531;242.041.407.017.969;8.743.509.701.223.790;1
363;473.167.013.772.763;270.641.977.209.598;19.406.740.439.248.600;0
364;408.726.397.715.509;54.948.061.559.814.900;531.249.170.624.282;0
365;351.544.934.837.148;52.899.213.241.878.900;40.377.196.037.478.700;0
366;322.228.188.090.958;618.106.158.780.865;934.477.133.128.546;0
367;40.447.672.961.745.400;22.492.923.848.331;10.721.926.587.434.600;0
368;484.632.045.542.821;5.052.642.975.049.080;81.202.580.899.123.200;0
369;428.430.991.293.862;286.317.861.331.627;8.398.690.240.153.250;0
370;50.310.422.438.196.700;53.038.696.864.154.200;83.617.191.002.815;0
371;575.651.999.609.545;37.737.854.486.797;535.356.165.390.711;0
372;550.661.829.696.037;55.739.200.699.143.100;933.270.266.633.384;0
373;46.065.948.209.725.300;528.386.391.988.024;4.947.308.727.595.900;0
374;38.309.585.656.970.600;5.542.913.449.741.900;354.572.397.128.405;0
375;54.472.144.756.000.400;59.245.984.996.668.900;108.363.830.881.501;0
376;586.950.943.968.259;297.744.096.326.642;182.651.630.229.436;0
377;547.489.123.116.247;31.596.858.642.529.600;543.809.369.329.612;0
378;46.328.171.917.702.900;5.684.083.063.574.510;787.967.620.843.062;0
379;49.633.327.468.764;3.898.900.888.860.220;791.531.344.330.937;0
380;6.633.978.387.573.730;355.919.052.129.611;235.089.150.808.837;0
381;62.650.719.662.196.900;334.840.662.707.575;642.536.536.372.003;0
382;27.646.780.053.619.300;56.311.668.782.029.200;31.321.486.918.114.300;0
383;214.376.157.545.485;457.314.004.921.354;256.396.087.298.893;0
384;506.481.984.443.963;565.173.067.129.217;7.110.755.833.314.190;0
385;296.706.718.439.236;53.550.199.660.006.800;292.898.408.763.734;0
386;20.258.538.662.456;29.115.531.621.500.800;27.678.372.998.142;1
387;344.752.179.738.134;42.307.918.459.176.900;31.621.338.373.512.700;0
388;28.926.432.463.340.400;62.065.251.282.881.800;7.500.671.069.984.860;0
389;206.606.689.537.875;49.363.881.094.846.800;17.560.376.249.661.400;0
